mutation_id	segment_id	chromosome	position
m125	seg05	1	405000
m126	seg05	1	406000
m127	seg05	1	407000
m128	seg05	1	408000
m129	seg05	1	409000
m130	seg05	1	410000
m131	seg05	1	411000
m132	seg05	1	412000
m133	seg05	1	413000
m134	seg05	1	414000
m135	seg05	1	415000
m136	seg05	1	416000
m137	seg05	1	417000
m138	seg05	1	418000
m139	seg05	1	419000
m140	seg05	1	420000
m141	seg05	1	421000
m142	seg05	1	422000
m143	seg05	1	423000
m144	seg05	1	424000
m145	seg05	1	425000
m146	seg05	1	426000
m147	seg05	1	427000
m148	seg05	1	428000
m149	seg05	1	429000
m150	seg05	1	430000
m151	seg06	1	501000
m152	seg06	1	502000
m153	seg06	1	503000
m154	seg06	1	504000
m155	seg06	1	505000
m156	seg06	1	506000
m157	seg06	1	507000
m158	seg06	1	508000
m159	seg06	1	509000
m160	seg06	1	510000
m161	seg06	1	511000
m162	seg06	1	512000
m163	seg06	1	513000
m164	seg06	1	514000
m165	seg06	1	515000
m166	seg06	1	516000
m167	seg06	1	517000
m168	seg06	1	518000
m169	seg06	1	519000
m170	seg06	1	520000
m171	seg06	1	521000
m172	seg06	1	522000
m173	seg06	1	523000
m174	seg06	1	524000
m175	seg06	1	525000
m176	seg06	1	526000
m177	seg06	1	527000
m178	seg06	1	528000
m179	seg06	1	529000
m180	seg06	1	530000
m181	seg07	1	601000
m182	seg07	1	602000
m183	seg07	1	603000
m184	seg07	1	604000
m185	seg07	1	605000
m186	seg07	1	606000
m187	seg07	1	607000
m188	seg07	1	608000
m189	seg07	1	609000
m190	seg07	1	610000
m191	seg07	1	611000
m192	seg07	1	612000
m193	seg07	1	613000
m194	seg07	1	614000
m195	seg07	1	615000
m196	seg07	1	616000
m197	seg07	1	617000
m198	seg07	1	618000
m199	seg07	1	619000
m200	seg07	1	620000
m201	seg07	1	621000
m202	seg07	1	622000
m203	seg07	1	623000
m204	seg07	1	624000
m205	seg07	1	625000
m206	seg07	1	626000
m207	seg07	1	627000
m208	seg07	1	628000
m209	seg07	1	629000
m210	seg07	1	630000
m211	seg08	1	701000
m212	seg08	1	702000
m213	seg08	1	703000
m214	seg08	1	704000
m215	seg08	1	705000
m216	seg08	1	706000
m217	seg08	1	707000
m218	seg08	1	708000
m219	seg08	1	709000
m220	seg08	1	710000
m221	seg08	1	711000
m222	seg08	1	712000
m223	seg08	1	713000
m224	seg08	1	714000
m225	seg08	1	715000
m226	seg08	1	716000
m227	seg08	1	717000
m228	seg08	1	718000
m229	seg08	1	719000
m230	seg08	1	720000
m231	seg08	1	721000
m232	seg08	1	722000
m233	seg08	1	723000
m234	seg08	1	724000
m235	seg08	1	725000
m236	seg08	1	726000
m237	seg08	1	727000
m238	seg08	1	728000
m239	seg08	1	729000
m240	seg08	1	730000
m241	seg09	1	801000
m242	seg09	1	802000
m243	seg09	1	803000
m244	seg09	1	804000
m245	seg09	1	805000
m246	seg09	1	806000
m247	seg09	1	807000
m248	seg09	1	808000
m249	seg09	1	809000
m250	seg09	1	810000
m251	seg09	1	811000
m252	seg09	1	812000
m253	seg09	1	813000
m254	seg09	1	814000
m255	seg09	1	815000
m256	seg09	1	816000
m257	seg09	1	817000
m258	seg09	1	818000
m259	seg09	1	819000
m260	seg09	1	820000
m261	seg09	1	821000
m262	seg09	1	822000
m263	seg09	1	823000
m264	seg09	1	824000
m265	seg09	1	825000
m266	seg09	1	826000
m267	seg09	1	827000
m268	seg09	1	828000
m269	seg09	1	829000
m270	seg09	1	830000
m271	seg10	1	901000
m272	seg10	1	902000
m273	seg10	1	903000
m274	seg10	1	904000
m275	seg10	1	905000
m276	seg10	1	906000
m277	seg10	1	907000
m278	seg10	1	908000
m279	seg10	1	909000
m280	seg10	1	910000
m281	seg10	1	911000
m282	seg10	1	912000
m283	seg10	1	913000
m284	seg10	1	914000
m285	seg10	1	915000
m286	seg10	1	916000
m287	seg10	1	917000
m288	seg10	1	918000
m289	seg10	1	919000
m290	seg10	1	920000
m291	seg10	1	921000
m292	seg10	1	922000
m293	seg10	1	923000
m294	seg10	1	924000
m295	seg10	1	925000
m296	seg10	1	926000
m297	seg10	1	927000
m298	seg10	1	928000
m299	seg10	1	929000
m300	seg10	1	930000
